policy_id,last_policy_status,last_termination_dt,time_stamp
P_01568997,active,,2018-01-31
P_06881454,active,,2018-01-31
P_04238477,active,,2018-01-31
P_05563298,active,,2018-01-31
P_02758136,active,,2018-01-31
P_00256604,active,,2018-01-31
P_09085307,active,,2018-01-31
P_04072875,active,,2018-01-31
P_09576183,active,,2018-01-31
P_04503187,active,,2018-01-31
P_07568522,cancelled,2017-10-31,2018-01-31
P_07102890,active,,2018-01-31
P_05311947,cancelled,2017-07-31,2018-01-31
P_00489296,active,,2018-01-31
P_01110829,active,,2018-01-31
P_06468298,active,,2018-01-31
P_05941691,active,,2018-01-31
P_00419184,active,,2018-01-31
P_03827051,active,,2018-01-31
P_00495661,active,,2018-01-31
P_01366271,active,,2018-01-31
P_04731758,active,,2018-01-31
P_04641765,active,,2018-01-31
P_03650548,active,,2018-01-31
P_00193100,active,,2018-01-31
P_03917612,active,,2018-01-31
P_09115598,active,,2018-01-31
P_04826077,active,,2018-01-31
P_09015867,active,,2018-01-31
P_01688538,active,,2018-01-31
P_00008784,active,,2018-01-31
P_04867934,active,,2018-01-31
P_03795940,active,,2018-01-31
P_09814283,cancelled,2018-01-31,2018-01-31
P_08379560,active,,2018-01-31
P_03268159,active,,2018-01-31
P_02959431,active,,2018-01-31
P_05783859,active,,2018-01-31
P_00418173,active,,2018-01-31
P_09444990,cancelled,2017-09-30,2018-01-31
P_00848844,active,,2018-01-31
P_02848899,active,,2018-01-31
P_05085986,active,,2018-01-31
P_01748615,active,,2018-01-31
P_01995816,active,,2018-01-31
P_03853100,active,,2018-01-31
P_08548648,cancelled,2017-07-31,2018-01-31
P_02572810,active,,2018-01-31
P_01836364,active,,2018-01-31
P_02843891,active,,2018-01-31
P_01468675,active,,2018-01-31
P_08562134,cancelled,2017-06-30,2018-01-31
P_09579691,active,,2018-01-31
P_07532223,active,,2018-01-31
P_03091112,cancelled,2018-01-31,2018-01-31
P_07149508,active,,2018-01-31
P_09098992,cancelled,2017-03-31,2018-01-31
P_06093665,cancelled,2018-01-31,2018-01-31
P_05869764,active,,2018-01-31
P_01220714,active,,2018-01-31
